Name,Description,Purchase Price,Sell Price,Attack Power,Magic Attack Power
Oracle's Staff,"A staff that grants glimpses of the future, aiding in critical hits.",4200,2100,15,105
Inferno Axe,"An axe wreathed in eternal flames, burning all it touches.",4800,2400,120,20
Shadowfang Dagger,"A dagger that drains shadows from enemies, making them vulnerable.",3500,1750,85,30
Aura Blade,"A sword that projects a protective aura, reducing incoming damage.",4400,2200,108,10
Soulbinder Staff,"A staff that can temporarily bind an enemy's soul, preventing actions.",4600,2300,18,115
Thunderclap Hammer,"A hammer that emits a concussive shockwave upon impact.",4900,2450,128,15
Emerald Bow,"A bow adorned with gleaming emeralds, increasing precision.",4100,2050,102,15
Crimson Scythe,"A scythe stained crimson, rumored to drink blood.",4700,2350,115,20
Zephyr Bow,"A bow that allows arrows to travel at incredible speeds, almost instantly.",4300,2150,105,10
Stone Golem Hammer,"A massive hammer crafted from a golem's remains, incredibly heavy.",5000,2500,135,0
Starfall Staff,"A staff that can call down small celestial bodies, dealing area damage.",4800,2400,22,125
Abyssal Blade,"A sword from the depths of the abyss, dealing dark damage.",4500,2250,110,40
Seraphic Blade,"A sword of celestial origin, imbued with divine light.",4900,2450,118,45
Infernal Axe,"An axe burning with hellfire, capable of melting armor.",5100,2550,130,25
Vortex Staff,"A staff that can create small localized vortices, pulling enemies in.",4400,2200,20,110
Golem Slayer,"A specialized weapon designed to destroy constructs and golems.",3600,1800,90,0
Divine Rod,"A rod imbued with holy power, granting blessings to allies.",3800,1900,10,95
Behemoth Club,"A gigantic club, requiring immense strength to wield.",5200,2600,145,0
Soulrend,"A sword that tears at the very fabric of an enemy's being.",5300,2650,138,30
Grimoire Staff,"A staff with an attached grimoire, granting access to powerful spells.",5000,2500,25,140
Arcane Scepter,"A scepter humming with raw arcane energy, amplifying all spells.",5500,2750,30,150
Blade of Ages,"A sword said to have witnessed the dawn of time, granting wisdom.",5800,2900,140,60
World Tree Bow,"A bow carved from a branch of the World Tree, its arrows carry life energy.",6000,3000,130,40
Dragonheart Axe,"An axe embedded with a dragon's heart, pulsating with power.",6200,3100,155,30
Staff of Creation,"A staff capable of minor creation, shaping the environment.",5700,2850,35,160
Starforged Sword,"A sword forged from a fallen star, shimmering with cosmic energy.",6100,3050,145,70
Phoenix Ash Dagger,"A dagger made from the ashes of a phoenix, capable of burning foes.",5400,2700,125,50
Hammer of Judgment,"A colossal hammer that delivers righteous judgment, capable of stunning.",6300,3150,165,20
Eternity's Embrace,"A staff that can briefly halt the flow of time around the wielder.",5900,2950,40,170
Soulflame Scythe,"A scythe that burns with an ethereal flame, consuming enemy souls.",6500,3250,150,80
Celestial Bow,"A bow that fires arrows of pure starlight, illuminating and striking foes.",6400,3200,135,55
Abyssal Staff,"A staff that channels dark energies from the abyss, powerful but corrupting.",5600,2800,32,155
Dragon's Roar Axe,"An axe that can unleash a sonic roar, disorienting enemies.",6000,3000,148,25
Lightweave Blade,"A sword woven from pure light, incredibly fast and precise.",5700,2850,138,65
Doom Bringer,"A terrifying weapon that instills fear and despair in all who face it.",6600,3300,170,0
Spirit King's Staff,"A staff once wielded by a king of spirits, commanding spectral allies.",6200,3100,45,175
Blade of Ruin,"A sword that leaves destruction in its wake, shattering defenses.",6800,3400,160,75
Thousand Cuts Dagger,"A dagger so sharp it feels like a thousand blades at once.",5300,2650,120,45
Hammer of the Ancients,"A prehistoric hammer of immense power, vibrating with ancient magic.",6700,3350,175,10
World Ender,"A legendary weapon capable of cataclysmic destruction, forbidden to wield.",7000,3500,200,100
Sunstone Bow,"A bow that gathers solar energy, firing explosive arrows.",5800,2900,128,50
Void Edge,"A blade that tears open small rifts in space, causing disorientation.",5900,2950,142,68
Staff of the Cosmos,"A staff that channels cosmic energies, capable of summoning minor celestial events.",6300,3150,48,180
Dragon's Tooth Sword,"A sword fashioned from a dragon's tooth, incredibly sharp and resilient.",6500,3250,152,72
Netherblade,"A sword forged in the nether, dealing immense fire and shadow damage.",6700,3350,160,85
Stormforged Axe,"An axe crackling with electricity, capable of calling down lightning.",6100,3050,150,35
Soulreaver Staff,"A staff that rips souls from bodies, draining life force.",6400,3200,50,190
Phoenix Fire Sword,"A sword that perpetually burns with phoenix fire, igniting foes.",6600,3300,155,78
Blaze of Glory Bow,"A bow that sets arrows aflame, creating a trail of fire.",5700,2850,125,48
Winter's Chill Staff,"A staff that freezes anything it touches, creating icy blasts.",6000,3000,42,165
Hammer of Creation,"A hammer said to have helped shape the world, capable of mending.",6900,3450,180,90
Dragon's Bane,"A sword specifically designed to hunt and slay dragons.",6200,3100,148,60
Wand of the Archmage,"A wand of immense power, reserved for only the most skilled mages.",6800,3400,55,200
Aegis Defender,"A weaponized shield capable of powerful bash attacks.",5500,2750,130,0
Starcaller Axe,"An axe that when swung creates small, sparkling constellations.",6300,3150,150,40
Chronos Blade,"A blade that can slightly alter the flow of time, granting extra attacks.",6500,3250,158,70
Soulbinder Blade,"A blade that can temporarily bind an enemy's movements.",5800,2900,135,55
Seraphim Staff,"A staff of pure light, used for healing and banishing evil.",6700,3350,45,195
Dragonfire Bow,"A bow that imbues arrows with dragonfire, causing explosive impacts.",6000,3000,132,52
Frostbite Axe,"An axe that inflicts severe frostbite, slowing enemies to a crawl.",6400,3200,153,38
Whisper of the Ancients,"A dagger that carries ancient whispers, confusing enemies.",5400,2700,122,46
Thunderfury,"A legendary sword that roars with lightning, striking multiple foes.",6900,3450,165,80
Astral Scepter,"A scepter that can project astral forms, distracting enemies.",6100,3050,40,170
Divine Retribution,"A mace that delivers divine punishment, smiting the wicked.",7000,3500,170,95
Emberheart Staff,"A staff containing a burning ember, radiating warmth and minor fire magic.",5600,2800,30,140
Titan's Might,"A massive two-handed weapon, only usable by those with immense strength.",6800,3400,185,0
Celestial Hammer,"A hammer made from celestial ore, glowing with soft light.",6600,3300,160,80
Spectral Blade,"A blade that can pass through physical objects, harming spirits.",5900,2950,140,60
Heartwood Staff,"A staff carved from the heart of a living tree, deeply connected to nature.",6500,3250,48,185
